Timestamp,Line_ID,Part_Produced,Batch_ID,Melting_KW,Melting_PF,Core_Making_KW,Core_Making_PF,Moulding_KW,Moulding_PF,Ladle_KW,Ladle_PF,Processing_KW,Processing_PF,Total_Line_KW,Energy_kWh,Meter_Reading_kWh,Melting_kWh,Core_Making_kWh,Moulding_kWh,Ladle_kWh,Processing_kWh,Total_Line_kWh
2024-01-01 00:00:00,Line_2,Cylinder Head,01_Line_2_B01,1910.82,0.978,91.15,0.898,339.2,0.82,0.0,0.1,0.0,0.1,2341.17,585.2925,585.29,477.7,22.79,84.8,0.0,0.0,585.29
2024-01-01 00:15:00,Line_2,Cylinder Head,01_Line_2_B01,1992.68,0.956,81.36,0.875,315.12,0.822,0.0,0.1,0.0,0.1,2389.17,597.2925,1182.58,498.17,20.34,78.78,0.0,0.0,597.29
2024-01-01 00:30:00,Line_2,Cylinder Head,01_Line_2_B01,1983.05,0.971,95.27,0.891,334.3,0.843,0.0,0.1,0.0,0.1,2412.62,603.155,1785.7399999999998,495.76,23.82,83.58,0.0,0.0,603.16
2024-01-01 00:45:00,Line_2,Cylinder Head,01_Line_2_B01,1938.99,0.952,95.17,0.871,346.95,0.805,0.0,0.1,0.0,0.1,2381.11,595.2775,2381.0199999999995,484.75,23.79,86.74,0.0,0.0,595.28
2024-01-01 01:00:00,Line_2,Cylinder Head,01_Line_2_B01,1904.3,0.972,86.3,0.877,339.29,0.808,0.0,0.1,155.42,0.716,2485.32,621.33,3002.3499999999995,476.08,21.58,84.82,0.0,38.85,621.33
2024-01-01 01:15:00,Line_2,,,100.0,0.1,96.47,0.858,342.08,0.813,70.74,0.94,156.02,0.75,765.3,191.325,3193.6799999999994,25.0,24.12,85.52,17.68,39.01,191.33
2024-01-01 01:30:00,Line_2,Cylinder Head,01_Line_2_B02,1824.6,0.973,89.96,0.892,322.14,0.816,0.0,0.1,173.6,0.736,2410.3,602.575,3796.2599999999993,456.15,22.49,80.54,0.0,43.4,602.58
2024-01-01 01:45:00,Line_2,Cylinder Head,01_Line_2_B02,1879.51,0.951,81.22,0.862,327.38,0.846,0.0,0.1,0.0,0.1,2288.12,572.03,4368.279999999999,469.88,20.3,81.84,0.0,0.0,572.02
2024-01-01 02:00:00,Line_2,Cylinder Head,01_Line_2_B02,1846.08,0.967,99.9,0.877,302.0,0.835,0.0,0.1,0.0,0.1,2247.98,561.995,4930.279999999999,461.52,24.98,75.5,0.0,0.0,562.0
2024-01-01 02:15:00,Line_2,Cylinder Head,01_Line_2_B02,1933.5,0.968,84.78,0.855,348.13,0.8,0.0,0.1,0.0,0.1,2366.42,591.605,5521.8899999999985,483.38,21.2,87.03,0.0,0.0,591.61
2024-01-01 02:30:00,Line_2,Cylinder Head,01_Line_2_B02,1886.49,0.967,96.77,0.88,330.43,0.844,0.0,0.1,153.74,0.712,2467.43,616.8575,6138.749999999998,471.62,24.19,82.61,0.0,38.44,616.86
