date,Temperature_C,Cloud_Cover_Pct,Solar_Irradiance_W_m2,Direct_Normal_Irradiance_W_m2,Solar_Generation_KW
2024-01-01 00:00:00,20.9305,0.0,0.0,0.0,0.0
2024-01-01 01:00:00,19.5805,0.0,0.0,0.0,0.0
2024-01-01 02:00:00,18.3305,0.0,0.0,0.0,0.0
2024-01-01 03:00:00,17.9805,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,17.6805,0.0,0.0,0.0,0.0
2024-01-01 05:00:00,17.380499,0.0,0.0,0.0,0.0
2024-01-01 06:00:00,17.7305,0.0,0.0,0.0,0.0
2024-01-01 07:00:00,18.3305,0.0,15.0,64.05287,375.0
2024-01-01 08:00:00,20.780499,42.0,166.0,495.63055,4150.0
2024-01-01 09:00:00,23.1805,0.0,380.0,700.601,9500.0
2024-01-01 10:00:00,25.5805,0.0,573.0,804.1418,14325.0
2024-01-01 11:00:00,27.380499,99.0,713.0,855.05615,17825.0
2024-01-01 12:00:00,28.5805,100.0,786.0,868.5406,19650.0
2024-01-01 13:00:00,29.530499,87.0,782.0,844.4461,19550.0
2024-01-01 14:00:00,29.9305,66.0,708.0,820.6725,17700.0
2024-01-01 15:00:00,29.780499,85.0,578.0,768.6341,14450.0
2024-01-01 16:00:00,29.530499,84.0,378.0,614.9432,9450.0
2024-01-01 17:00:00,28.4305,43.0,175.0,468.25803,4375.0
2024-01-01 18:00:00,25.5805,89.0,21.0,95.168,525.0
2024-01-01 19:00:00,24.8305,83.0,0.0,0.0,0.0
2024-01-01 20:00:00,24.0805,6.0,0.0,0.0,0.0
2024-01-01 21:00:00,23.6805,3.0,0.0,0.0,0.0
2024-01-01 22:00:00,21.880499,29.0,0.0,0.0,0.0
2024-01-01 23:00:00,21.8305,33.0,0.0,0.0,0.0
2024-01-02 00:00:00,20.630499,35.0,0.0,0.0,0.0
2024-01-02 01:00:00,21.030499,20.0,0.0,0.0,0.0
2024-01-02 02:00:00,20.5805,0.0,0.0,0.0,0.0
2024-01-02 03:00:00,20.4305,3.0,0.0,0.0,0.0
2024-01-02 04:00:00,19.780499,7.0,0.0,0.0,0.0
2024-01-02 05:00:00,19.3305,17.0,0.0,0.0,0.0
2024-01-02 06:00:00,19.5805,46.0,0.0,0.0,0.0
2024-01-02 07:00:00,19.530499,23.0,13.0,43.008713,325.0
2024-01-02 08:00:00,21.380499,0.0,163.0,480.305,4075.0
2024-01-02 09:00:00,23.4805,0.0,377.0,690.1711,9425.0
2024-01-02 10:00:00,25.8305,1.0,568.0,794.4823,14200.0
2024-01-02 11:00:00,27.5805,6.0,709.0,849.26086,17725.0
2024-01-02 12:00:00,28.8305,5.0,786.0,873.00287,19650.0
2024-01-02 13:00:00,29.5805,11.0,790.0,870.2891,19750.0
2024-01-02 14:00:00,30.030499,20.0,716.0,832.78064,17900.0
2024-01-02 15:00:00,29.8305,65.0,571.0,753.00757,14275.0
2024-01-02 16:00:00,29.4305,87.0,319.0,381.05994,7975.0
2024-01-02 17:00:00,28.5805,29.0,120.0,137.1535,3000.0
2024-01-02 18:00:00,25.8305,28.0,19.0,75.296135,475.0
2024-01-02 19:00:00,25.6805,43.0,0.0,0.0,0.0
2024-01-02 20:00:00,25.380499,70.0,0.0,0.0,0.0
2024-01-02 21:00:00,25.0805,47.0,0.0,0.0,0.0
2024-01-02 22:00:00,23.5805,86.0,0.0,0.0,0.0
2024-01-02 23:00:00,22.130499,49.0,0.0,0.0,0.0
