Line_ID,Date,Melting_kWh,Core_Making_kWh,Moulding_kWh,Ladle_kWh,Processing_kWh,Total_Line_kWh,Solar_Used_kWh,Grid_Used_kWh
Line_2,2024-01-01,30880.94,1550.2,6994.41,222.05,1373.01,41020.61,17262.51,23758.07
Line_2,2024-01-02,30709.94,1572.3,6924.14,214.82,1383.79,40804.99,16731.61,24073.44
Line_2,2024-01-03,30910.69,1551.93,6916.4,211.78,1373.2,40964.0,16769.51,24194.51
Line_2,2024-01-04,30924.74,1536.89,6972.9,220.14,1403.0,41057.67,15870.7,25187.01
Line_2,2024-01-05,31163.68,1547.71,6909.34,211.83,1385.1,41217.66,17227.01,23990.73
Line_2,2024-01-06,30893.4,1566.28,6855.28,229.31,1401.08,40945.35,16698.72,24246.69
Line_2,2024-01-07,2400.0,0.0,0.0,0.0,0.0,2400.0,1196.72,1203.28
Line_2,2024-01-08,30848.22,1577.84,6953.52,221.74,1396.26,40997.58,16742.33,24255.28
Line_2,2024-01-09,31079.07,1562.15,6914.37,221.3,1388.67,41165.56,15058.81,26106.73
Line_2,2024-01-10,31049.26,1569.69,6941.48,208.37,1402.83,41171.63,17087.27,24084.29
Line_2,2024-01-11,30549.73,1559.31,6960.35,213.17,1387.3,40669.86,17405.99,23263.88
Line_2,2024-01-12,31041.26,1552.86,6918.86,228.14,1390.68,41131.8,17694.85,23437.01
Line_2,2024-01-13,30922.49,1569.96,6903.51,222.22,1388.84,41007.02,17398.81,23608.22
Line_2,2024-01-14,2400.0,0.0,0.0,0.0,0.0,2400.0,1214.64,1185.36
Line_2,2024-01-15,30841.14,1572.85,6925.26,219.99,1398.52,40957.76,17576.78,23380.93
Line_2,2024-01-16,30785.7,1573.88,6906.69,209.84,1386.48,40862.59,17445.59,23416.98
Line_2,2024-01-17,31057.82,1553.51,6931.03,208.46,1393.0,41143.82,17533.74,23610.01
Line_2,2024-01-18,30947.24,1565.26,6911.05,206.11,1371.26,41000.92,17400.88,23600.06
Line_2,2024-01-19,30997.29,1569.34,6914.38,206.49,1395.64,41083.14,17401.2,23681.91
Line_2,2024-01-20,30813.49,1566.96,6875.41,234.67,1404.86,40895.39,17425.92,23469.44
Line_2,2024-01-21,2400.0,0.0,0.0,0.0,0.0,2400.0,1217.29,1182.71
Line_2,2024-01-22,30734.3,1558.56,6964.05,216.68,1393.6,40867.19,17690.09,23177.1
Line_2,2024-01-23,31000.0,1545.38,6918.76,224.8,1414.03,41102.97,17839.12,23263.86
Line_2,2024-01-24,30792.97,1544.19,6968.99,221.02,1406.73,40933.9,17861.09,23072.78
Line_2,2024-01-25,30776.75,1576.51,6914.96,218.14,1401.11,40887.47,17658.39,23229.08
Line_2,2024-01-26,30763.4,1579.41,6871.05,214.65,1398.11,40826.62,17760.38,23066.24
Line_2,2024-01-27,30716.65,1549.08,6880.42,204.97,1383.21,40734.33,17695.16,23039.05
Line_2,2024-01-28,2400.0,0.0,0.0,0.0,0.0,2400.0,1225.7,1174.3
Line_2,2024-01-29,30795.36,1528.08,6870.38,219.62,1403.98,40817.42,17811.52,23005.87
Line_2,2024-01-30,30807.14,1544.65,6955.73,218.62,1380.11,40906.25,17776.53,23129.72
Line_2,2024-01-31,30856.92,1570.69,6918.35,228.9,1387.28,40962.14,17902.64,23059.51
Line_2,2024-02-01,31025.3,1567.41,6951.5,212.46,1404.19,41160.86,18069.81,23091.08
Line_2,2024-02-02,30833.92,1550.48,6877.93,225.86,1393.4,40881.59,17769.42,23112.25
Line_2,2024-02-03,30936.4,1560.46,6891.1,211.16,1391.43,40990.55,17919.79,23070.65
Line_2,2024-02-04,2400.0,0.0,0.0,0.0,0.0,2400.0,1228.12,1171.88
Line_2,2024-02-05,30914.56,1564.72,6906.1,210.94,1409.65,41005.97,17974.04,23031.98
Line_2,2024-02-06,30861.43,1557.8,6918.15,232.26,1383.3,40952.94,18040.8,22912.23
Line_2,2024-02-07,30944.37,1581.79,6928.37,218.26,1394.15,41066.94,18145.65,22921.26
Line_2,2024-02-08,30960.75,1553.19,6996.25,206.18,1399.4,41115.77,18119.74,22996.01
Line_2,2024-02-09,31050.09,1550.37,6909.22,217.94,1410.2,41137.82,18080.74,23057.01
Line_2,2024-02-10,30810.66,1530.49,6845.76,221.65,1417.86,40826.42,18132.0,22694.49
Line_2,2024-02-11,2400.0,0.0,0.0,0.0,0.0,2400.0,1239.84,1160.16
Line_2,2024-02-12,31274.23,1571.25,6963.13,224.43,1363.24,41396.28,18371.38,23024.89
Line_2,2024-02-13,30948.11,1583.47,6953.34,229.07,1401.85,41115.84,18230.07,22885.83
Line_2,2024-02-14,30802.2,1569.91,6950.29,224.73,1390.46,40937.59,18217.46,22720.18
Line_2,2024-02-15,30695.43,1558.17,6898.79,222.96,1430.91,40806.26,17807.86,22998.37
Line_2,2024-02-16,31026.7,1547.63,6921.13,214.12,1381.66,41091.24,18417.59,22673.67
Line_2,2024-02-17,30985.44,1571.62,6891.49,194.8,1392.61,41035.96,18340.14,22695.86
Line_2,2024-02-18,2400.0,0.0,0.0,0.0,0.0,2400.0,1250.23,1149.77
Line_2,2024-02-19,30863.83,1565.35,6895.86,225.46,1364.94,40915.44,17279.34,23636.11
Line_2,2024-02-20,30656.9,1573.11,6868.02,212.95,1384.49,40695.47,18116.36,22579.09
Line_2,2024-02-21,31210.2,1569.67,6980.13,206.31,1413.77,41380.08,18529.01,22851.15
Line_2,2024-02-22,30930.63,1548.41,6913.45,224.68,1389.62,41006.79,18525.03,22481.77
Line_2,2024-02-23,30878.41,1568.33,6931.43,239.15,1390.75,41008.07,18422.72,22585.34
Line_2,2024-02-24,30718.61,1539.23,6900.28,218.14,1395.25,40771.51,18404.41,22367.11
Line_2,2024-02-25,2400.0,0.0,0.0,0.0,0.0,2400.0,1256.88,1143.12
Line_2,2024-02-26,30940.65,1572.77,6889.76,210.56,1389.81,41003.55,18375.21,22628.37
Line_2,2024-02-27,31050.89,1538.5,6910.02,217.25,1395.58,41112.24,18529.53,22582.73
Line_2,2024-02-28,30819.48,1548.11,6912.24,232.08,1405.13,40917.04,18251.86,22665.15
Line_2,2024-02-29,30960.65,1547.59,6969.09,206.8,1392.29,41076.42,18271.73,22804.73
Line_2,2024-03-01,34524.0,1479.96,6584.78,252.65,1577.42,44418.81,21058.23,23360.57
Line_2,2024-03-02,34616.7,1466.89,6631.03,247.19,1571.23,44533.04,21064.0,23469.01
Line_2,2024-03-03,2400.0,0.0,0.0,0.0,0.0,2400.0,1263.28,1136.72
Line_2,2024-03-04,34648.46,1466.65,6656.37,239.41,1540.71,44551.6,21146.56,23405.04
Line_2,2024-03-05,34806.28,1476.8,6561.98,260.25,1567.97,44673.28,21232.76,23440.42
Line_2,2024-03-06,34474.28,1493.1,6631.0,250.85,1544.6,44393.83,21032.65,23361.23
Line_2,2024-03-07,34815.8,1480.7,6627.81,240.76,1571.92,44736.99,21273.07,23463.89
Line_2,2024-03-08,34630.98,1462.55,6570.51,243.79,1570.69,44478.52,21217.65,23260.84
Line_2,2024-03-09,34578.48,1487.8,6608.49,236.65,1570.13,44481.55,21107.66,23373.77
Line_2,2024-03-10,2400.0,0.0,0.0,0.0,0.0,2400.0,1266.17,1133.83
Line_2,2024-03-11,34654.42,1475.89,6655.73,236.22,1569.96,44592.22,21124.87,23467.37
Line_2,2024-03-12,34596.23,1501.35,6717.35,239.92,1584.31,44639.16,21400.31,23238.87
Line_2,2024-03-13,34498.38,1494.38,6591.19,247.77,1560.49,44392.21,20255.15,24137.15
Line_2,2024-03-14,34547.3,1487.02,6572.94,246.89,1560.35,44414.5,21145.14,23269.39
Line_2,2024-03-15,34655.99,1469.6,6666.82,251.17,1598.57,44642.15,21416.32,23225.86
Line_2,2024-03-16,34619.87,1456.99,6546.6,248.97,1579.39,44451.82,21253.92,23197.98
Line_2,2024-03-17,2400.0,0.0,0.0,0.0,0.0,2400.0,1275.68,1124.32
Line_2,2024-03-18,34668.68,1452.97,6609.08,251.2,1570.0,44551.93,21581.67,22970.29
Line_2,2024-03-19,34700.2,1469.7,6606.42,259.88,1584.99,44621.19,21489.67,23131.49
Line_2,2024-03-20,34719.81,1488.61,6612.71,233.95,1591.27,44646.35,21613.9,23032.39
Line_2,2024-03-21,34684.96,1489.34,6598.82,239.73,1565.14,44577.99,21175.1,23402.89
Line_2,2024-03-22,34461.55,1512.84,6636.93,243.69,1582.31,44437.32,21074.42,23362.81
Line_2,2024-03-23,34762.21,1475.73,6682.47,235.39,1549.3,44705.1,21000.57,23704.48
Line_2,2024-03-24,2400.0,0.0,0.0,0.0,0.0,2400.0,1277.01,1122.99
Line_2,2024-03-25,34547.09,1487.78,6634.81,245.86,1588.03,44503.57,21313.65,23189.87
Line_2,2024-03-26,34784.79,1479.34,6616.16,230.91,1586.36,44697.56,21654.0,23043.56
Line_2,2024-03-27,34653.06,1509.65,6631.43,240.61,1568.08,44602.83,21505.36,23097.49
Line_2,2024-03-28,34731.16,1505.18,6621.33,237.0,1569.08,44663.75,21518.63,23145.22
Line_2,2024-03-29,34569.0,1474.39,6523.02,236.36,1564.67,44367.44,21269.61,23097.81
Line_2,2024-03-30,34736.41,1490.02,6623.56,245.59,1572.94,44668.52,21693.04,22975.51
Line_2,2024-03-31,2400.0,0.0,0.0,0.0,0.0,2400.0,1279.43,1120.57
Line_2,2024-04-01,27147.81,1503.4,6879.6,182.04,1204.04,36916.89,17484.11,19432.82
Line_2,2024-04-02,27171.37,1491.03,6887.18,189.23,1214.02,36952.83,17512.17,19440.64
Line_2,2024-04-03,27213.26,1523.21,6947.75,198.59,1205.63,37088.44,17875.15,19213.3
Line_2,2024-04-04,27175.58,1512.29,6939.73,194.35,1208.95,37030.9,17721.66,19309.18
Line_2,2024-04-05,27098.03,1529.93,6959.15,186.54,1214.13,36987.78,17884.04,19103.75
Line_2,2024-04-06,27171.21,1503.74,6903.08,190.15,1226.77,36994.95,17909.94,19084.98
Line_2,2024-04-07,2400.0,0.0,0.0,0.0,0.0,2400.0,1279.43,1120.57
Line_2,2024-04-08,27251.22,1490.55,6950.47,186.51,1192.29,37071.04,18078.21,18992.82
Line_2,2024-04-09,26973.24,1509.7,6928.71,189.11,1231.9,36832.66,17948.87,18883.73
Line_2,2024-04-10,27133.46,1502.73,6919.47,182.74,1226.73,36965.13,17731.47,19233.68
Line_2,2024-04-11,27059.29,1511.81,6911.94,180.72,1222.72,36886.48,17658.29,19228.27
Line_2,2024-04-12,27114.82,1509.06,6877.99,193.52,1214.67,36910.06,17931.54,18978.49
Line_2,2024-04-13,27203.43,1502.17,6945.67,193.28,1220.32,37064.87,17640.79,19424.06
Line_2,2024-04-14,2400.0,0.0,0.0,0.0,0.0,2400.0,1283.85,1116.15
Line_2,2024-04-15,27384.55,1500.78,6907.08,185.95,1198.68,37177.04,18333.29,18843.74
Line_2,2024-04-16,27026.49,1512.47,6933.85,186.15,1217.75,36876.71,17874.7,19002.04
Line_2,2024-04-17,27118.83,1486.6,6960.3,181.94,1216.95,36964.62,18002.16,18962.4
Line_2,2024-04-18,27246.45,1497.0,6930.11,187.93,1221.41,37082.9,17625.26,19457.64
Line_2,2024-04-19,27197.35,1503.29,6922.03,182.46,1238.6,37043.73,17644.45,19399.34
